submission_id,question,response1,sentence_left,startDate,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,correct2,pic_spec,understand,text,condition,target,age,response,comments,ref_spec,picture1,response3,education,target_size,languages,sex,RT,correct3,context,trial_number,startTime,attempts,question3,fairprice,question2,response2,adj_cond,trial_name,utterance
866,NA,swordfish,NA,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),NA,24,warmup/goldfish_warmup.png,swordfish,This is a,NA,1,fish,susan,goldfish,NA,NA,Please label the pictures below.,NA,NA,24,NA,NA,NA,warmup/swordfish.jpg,fish,graduated_high_school,NA,english,male,NA,fish,NA,1,1574452283747,1,This is a,1,These are both,goldfish,NA,warmup1,NA
866,NA,tree,NA,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),NA,24,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,NA,1,trees,susan,bonsai,NA,NA,Please label the pictures below.,NA,NA,24,NA,NA,NA,warmup/sequoia.png,tree,graduated_high_school,NA,english,male,NA,trees,NA,2,1574452283747,1,This is a,1,These are both,tree,NA,warmup1,NA
866,NA,sequoia,NA,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),NA,24,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,NA,1,trees,susan,bonsai,NA,NA,Please label the pictures below.,NA,NA,24,NA,NA,NA,warmup/sequoia.png,trees,graduated_high_school,NA,english,male,NA,trees,NA,2,1574452283747,2,This is a,1,These are both,bonsai,NA,warmup1,NA
866,NA,hummingbird,NA,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),NA,24,warmup/eagle.jpg,hummingbird,This is a,NA,1,birds,susan,eagle,NA,NA,Please label the pictures below.,NA,NA,24,NA,NA,NA,warmup/colibri.jpg,birds,graduated_high_school,NA,english,male,NA,birds,NA,3,1574452283747,1,This is an,1,These are both,eagle,NA,warmup1,NA
866,What do you think your friend meant?,NA,It is big  relative to other,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),ref-utility/swordfish-5-6.png,24,NA,NA,NA,NA,1,fish,susan,NA,1,NA,"Your friend runs far ahead of you, and you see him in the distance:",prenominal,warmup/swordfish.png,24,fish,NA,1,NA,NA,graduated_high_school,big,english,male,NA,NA,You and your friend see the following:,1,1574452283747,NA,NA,1,NA,NA,congr,custom_main_text1,Your friend says: <br/><b>That's a big swordfish.</b>
866,What do you think your friend meant?,NA,It is big  relative to other,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),ref-utility/redwoods-5-6.png,24,NA,NA,NA,NA,1,trees,susan,NA,1,NA,"Your friend runs far ahead of you, and you see him in the distance:",prenominal,warmup/redwood.png,24,trees,NA,1,NA,NA,graduated_high_school,big,english,male,NA,NA,You and your friend see the following:,2,1574452283747,NA,NA,1,NA,NA,congr,custom_main_text1,Your friend says: <br/><b>That's a big redwood.</b>
866,What do you think your friend meant?,NA,It is small  relative to other,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),ref-utility/hummingbirds-5-6.png,24,NA,NA,NA,NA,1,birds,susan,NA,1,NA,"Your friend runs far ahead of you, and you see him in the distance:",prenominal,warmup/hummingbird.png,24,hummingbirds,NA,1,NA,NA,graduated_high_school,small,english,male,NA,NA,You and your friend see the following:,3,1574452283747,NA,NA,1,NA,NA,congr,custom_main_text1,Your friend says: <br/><b>That's a small hummingbird.</b>
866,NA,pug,NA,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),NA,24,warmup/great-dane.jpg,pug,This is a,NA,1,dogs,susan,great dane,NA,NA,Please label the pictures below.,NA,NA,24,NA,NA,NA,warmup/pug.jpg,dog,graduated_high_school,NA,english,male,NA,dogs,NA,1,1574452283747,1,This is a,1,These are both,dog,NA,warmup2,NA
866,NA,pug,NA,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),NA,24,warmup/great-dane.jpg,pug,This is a,NA,1,dogs,susan,great dane,NA,NA,Please label the pictures below.,NA,NA,24,NA,NA,NA,warmup/pug.jpg,dog,graduated_high_school,NA,english,male,NA,dogs,NA,1,1574452283747,2,This is a,1,These are both,great dane,NA,warmup2,NA
866,NA,pug,NA,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),NA,24,warmup/great-dane.jpg,pug,This is a,NA,1,dogs,susan,great dane,NA,NA,Please label the pictures below.,NA,NA,24,NA,NA,NA,warmup/pug.jpg,dogs,graduated_high_school,NA,english,male,NA,dogs,NA,1,1574452283747,3,This is a,1,These are both,great dane,NA,warmup2,NA
866,NA,aaaaa,NA,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),NA,24,warmup/doberman_warmup.png,chihuahua,This is a,NA,1,dogs,susan,doberman,NA,NA,Please label the pictures below.,NA,NA,24,NA,NA,NA,warmup/chihuahua.jpg,dogs,graduated_high_school,NA,english,male,NA,dogs,NA,2,1574452283747,1,This is a,1,These are both,aaaaa,NA,warmup2,NA
866,NA,chihuahua,NA,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),NA,24,warmup/doberman_warmup.png,chihuahua,This is a,NA,1,dogs,susan,doberman,NA,NA,Please label the pictures below.,NA,NA,24,NA,NA,NA,warmup/chihuahua.jpg,dogs,graduated_high_school,NA,english,male,NA,dogs,NA,2,1574452283747,2,This is a,1,These are both,doberman,NA,warmup2,NA
866,NA,dandelion,NA,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),NA,24,warmup/sunflower_warmup.png,dandelion,This is a,NA,1,flowers,susan,sunflower,NA,NA,Please label the pictures below.,NA,NA,24,NA,NA,NA,warmup/dandelion.jpg,flowers,graduated_high_school,NA,english,male,NA,flowers,NA,3,1574452283747,1,This is a,1,These are both,sunflower,NA,warmup2,NA
866,What do you think your friend meant?,NA,It is small  relative to other,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),ref-utility/pugs-5-6.png,24,NA,NA,NA,NA,1,dogs2,susan,NA,1,NA,"Your friend runs far ahead of you, and you see him in the distance:",prenominal,warmup/pug.png,24,pugs,NA,1,NA,NA,graduated_high_school,small,english,male,NA,NA,You and your friend see the following:,1,1574452283747,NA,NA,1,NA,NA,congr,custom_main_text2,Your friend says: <br/><b>That's a small pug.</b>
866,What do you think your friend meant?,NA,It is big  relative to other,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),ref-utility/sunflowers-5-6.png,24,NA,NA,NA,NA,1,flowers,susan,NA,1,NA,"Your friend runs far ahead of you, and you see him in the distance:",prenominal,warmup/sunflower.png,24,sunflowers,NA,1,NA,NA,graduated_high_school,big,english,male,NA,NA,You and your friend see the following:,2,1574452283747,NA,NA,1,NA,NA,congr,custom_main_text2,Your friend says: <br/><b>That's a big sunflower.</b>
866,What do you think your friend meant?,NA,It is small  relative to other,Fri Nov 22 2019 11:51:23 GMT-0800 (Pacific Standard Time),ref-utility/chihuahuas-5-6.png,24,NA,NA,NA,NA,1,dogs1,susan,NA,1,NA,"Your friend runs far ahead of you, and you see him in the distance:",prenominal,warmup/chihuahua.png,24,chihuahuas,NA,1,NA,NA,graduated_high_school,small,english,male,NA,NA,You and your friend see the following:,3,1574452283747,NA,NA,1,NA,NA,congr,custom_main_text2,Your friend says: <br/><b>That's a small chihuahua.</b>
863,NA,hummingbird,NA,Fri Nov 22 2019 11:20:40 GMT-0800 (Pacific Standard Time),NA,24,warmup/eagle.jpg,hummingbird,This is a,none,1,birds,margaret,eagle,NA,yes,Please label the pictures below.,NA,NA,32,NA,none,NA,warmup/colibri.jpg,birds,some_college,NA,English,male,NA,birds,NA,1,1574450440854,1,This is an,1.5,These are both,eagle,NA,warmup1,NA
863,NA,tulip,NA,Fri Nov 22 2019 11:20:40 GMT-0800 (Pacific Standard Time),NA,24,warmup/sunflower_warmup.png,dandelion,This is a,none,1,flowers,margaret,sunflower,NA,yes,Please label the pictures below.,NA,NA,32,NA,none,NA,warmup/dandelion.jpg,flowers,some_college,NA,English,male,NA,flowers,NA,2,1574450440854,1,This is a,1.5,These are both,daisy,NA,warmup1,NA
863,NA,dandelion,NA,Fri Nov 22 2019 11:20:40 GMT-0800 (Pacific Standard Time),NA,24,warmup/sunflower_warmup.png,dandelion,This is a,none,1,flowers,margaret,sunflower,NA,yes,Please label the pictures below.,NA,NA,32,NA,none,NA,warmup/dandelion.jpg,flowers,some_college,NA,English,male,NA,flowers,NA,2,1574450440854,2,This is a,1.5,These are both,sunflower,NA,warmup1,NA
863,NA,pug,NA,Fri Nov 22 2019 11:20:40 GMT-0800 (Pacific Standard Time),NA,24,warmup/great-dane.jpg,pug,This is a,none,1,dogs,margaret,great dane,NA,yes,Please label the pictures below.,NA,NA,32,NA,none,NA,warmup/pug.jpg,dogs,some_college,NA,English,male,NA,dogs,NA,3,1574450440854,1,This is a,1.5,These are both,great dane,NA,warmup1,NA
863,What do you think your friend meant?,NA,It is big  relative to other,Fri Nov 22 2019 11:20:40 GMT-0800 (Pacific Standard Time),ref-utility/sunflowers-5-6.png,24,NA,NA,NA,none,1,flowers,margaret,NA,1,yes,"Your friend runs far ahead of you, and you see him in the distance:",prenominal,warmup/sunflower.png,32,sunflowers,none,1,NA,NA,some_college,big,English,male,NA,NA,You and your friend see the following:,1,1574450440854,NA,NA,1.5,NA,NA,congr,custom_main_text1,Your friend says: <br/><b>That's a big sunflower.</b>
863,What do you think your friend meant?,NA,It is small  relative to other,Fri Nov 22 2019 11:20:40 GMT-0800 (Pacific Standard Time),ref-utility/hummingbirds-5-6.png,24,NA,NA,NA,none,1,birds,margaret,NA,1,yes,"Your friend runs far ahead of you, and you see him in the distance:",prenominal,warmup/hummingbird.png,32,birds,none,1,NA,NA,some_college,small,English,male,NA,NA,You and your friend see the following:,2,1574450440854,NA,NA,1.5,NA,NA,congr,custom_main_text1,Your friend says: <br/><b>That's a small hummingbird.</b>
863,What do you think your friend meant?,NA,It is big  relative to other,Fri Nov 22 2019 11:20:40 GMT-0800 (Pacific Standard Time),ref-utility/great-danes-5-6.png,24,NA,NA,NA,none,1,dogs2,margaret,NA,1,yes,"Your friend runs far ahead of you, and you see him in the distance:",prenominal,warmup/great-dane.png,32,great danes,none,1,NA,NA,some_college,big,English,male,NA,NA,You and your friend see the following:,3,1574450440854,NA,NA,1.5,NA,NA,congr,custom_main_text1,Your friend says: <br/><b>That's a big great dane.</b>
863,NA,chihuahua,NA,Fri Nov 22 2019 11:20:40 GMT-0800 (Pacific Standard Time),NA,24,warmup/doberman_warmup.png,chihuahua,This is a,none,1,dogs,margaret,doberman,NA,yes,Please label the pictures below.,NA,NA,32,NA,none,NA,warmup/chihuahua.jpg,dogs,some_college,NA,English,male,NA,dogs,NA,1,1574450440854,1,This is a,1.5,These are both,doberman,NA,warmup2,NA
863,NA,swordfish,NA,Fri Nov 22 2019 11:20:40 GMT-0800 (Pacific Standard Time),NA,24,warmup/goldfish_warmup.png,swordfish,This is a,none,1,fish,margaret,goldfish,NA,yes,Please label the pictures below.,NA,NA,32,NA,none,NA,warmup/swordfish.jpg,fise,some_college,NA,English,male,NA,fish,NA,2,1574450440854,1,This is a,1.5,These are both,goldfish,NA,warmup2,NA
863,NA,swordfish,NA,Fri Nov 22 2019 11:20:40 GMT-0800 (Pacific Standard Time),NA,24,warmup/goldfish_warmup.png,swordfish,This is a,none,1,fish,margaret,goldfish,NA,yes,Please label the pictures below.,NA,NA,32,NA,none,NA,warmup/swordfish.jpg,fish,some_college,NA,English,male,NA,fish,NA,2,1574450440854,2,This is a,1.5,These are both,goldfish,NA,warmup2,NA
